Churn_Probability,Risk_Tier,Actual_Churn,MonthlyCharges,tenure,Recommended_Action,Est_Revenue_At_Risk
0.9303661,High risk,1,95.1,1,Priority outreach: offer loyalty discount immediately,1141.2
0.9282529,High risk,1,85.05,1,Priority outreach: offer loyalty discount immediately,1020.6
0.92004824,High risk,1,76.45,1,Priority outreach: offer loyalty discount immediately,917.4
0.9148531,High risk,1,95.45,1,Priority outreach: offer loyalty discount immediately,1145.4
0.9081538,High risk,1,77.15,1,Priority outreach: offer loyalty discount immediately,925.8
0.9019162,High risk,1,105.9,3,Priority outreach: offer loyalty discount immediately,1270.8
0.8945418,High risk,1,85.0,1,Priority outreach: offer loyalty discount immediately,1020.0
0.8941368,High risk,1,90.85,1,Priority outreach: offer loyalty discount immediately,1090.2
0.8843289,High risk,1,69.6,1,Priority outreach: offer loyalty discount immediately,835.2
0.8841078,High risk,1,99.25,7,Priority outreach: offer loyalty discount immediately,1191.0
0.8801861,High risk,1,79.5,1,Priority outreach: offer loyalty discount immediately,954.0
0.8791731,High risk,1,98.05,7,Priority outreach: offer loyalty discount immediately,1176.6
0.87812054,High risk,1,88.35,1,Priority outreach: offer loyalty discount immediately,1060.2
0.87654,High risk,1,89.55,1,Priority outreach: offer loyalty discount immediately,1074.6
0.87603986,High risk,0,85.0,1,Priority outreach: offer loyalty discount immediately,1020.0
0.8752396,High risk,1,84.85,1,Priority outreach: offer loyalty discount immediately,1018.2
0.87422943,High risk,1,69.25,1,Priority outreach: offer loyalty discount immediately,831.0
0.8692223,High risk,1,100.95,3,Priority outreach: offer loyalty discount immediately,1211.4
0.86910117,High risk,1,75.7,1,Priority outreach: offer loyalty discount immediately,908.4
0.8680557,High risk,1,95.65,1,Priority outreach: offer loyalty discount immediately,1147.8
0.8639255,High risk,0,79.15,1,Priority outreach: offer loyalty discount immediately,949.8
0.8634841,High risk,1,101.95,7,Priority outreach: offer loyalty discount immediately,1223.4
0.8600659,High risk,1,96.6,3,Priority outreach: offer loyalty discount immediately,1159.2
0.8596129,High risk,1,69.1,1,Priority outreach: offer loyalty discount immediately,829.2
0.8596129,High risk,1,69.55,1,Priority outreach: offer loyalty discount immediately,834.6
0.8583164,High risk,1,74.5,1,Priority outreach: offer loyalty discount immediately,894.0
0.85368454,High risk,0,91.45,2,Priority outreach: offer loyalty discount immediately,1097.4
0.84910613,High risk,1,79.35,1,Priority outreach: offer loyalty discount immediately,952.2
0.84868777,High risk,1,74.5,1,Priority outreach: offer loyalty discount immediately,894.0
0.8480727,High risk,1,78.8,1,Priority outreach: offer loyalty discount immediately,945.6
0.84651834,High risk,1,105.3,6,Priority outreach: offer loyalty discount immediately,1263.6
0.8432347,High risk,1,85.55,1,Priority outreach: offer loyalty discount immediately,1026.6
0.840705,High risk,0,99.3,9,Priority outreach: offer loyalty discount immediately,1191.6
0.8371398,High risk,0,84.05,2,Priority outreach: offer loyalty discount immediately,1008.6
0.83667415,High risk,1,70.0,1,Priority outreach: offer loyalty discount immediately,840.0
0.83421946,High risk,1,69.9,1,Priority outreach: offer loyalty discount immediately,838.8
0.83421946,High risk,0,69.9,1,Priority outreach: offer loyalty discount immediately,838.8
0.83291894,High risk,1,69.5,1,Priority outreach: offer loyalty discount immediately,834.0
0.8321536,High risk,1,76.35,1,Priority outreach: offer loyalty discount immediately,916.2
0.83015513,High risk,0,94.1,7,Priority outreach: offer loyalty discount immediately,1129.2
0.82600814,High risk,1,85.7,2,Priority outreach: offer loyalty discount immediately,1028.4
0.8246438,High risk,1,71.0,1,Priority outreach: offer loyalty discount immediately,852.0
0.82079476,High risk,0,74.3,1,Priority outreach: offer loyalty discount immediately,891.6
0.82060385,High risk,0,90.75,6,Priority outreach: offer loyalty discount immediately,1089.0
0.81898403,High risk,1,71.0,1,Priority outreach: offer loyalty discount immediately,852.0
0.81898403,High risk,1,71.65,1,Priority outreach: offer loyalty discount immediately,859.8
0.81846035,High risk,1,105.35,3,Priority outreach: offer loyalty discount immediately,1264.2
0.81685466,High risk,1,94.2,2,Priority outreach: offer loyalty discount immediately,1130.4
0.8132962,High risk,1,70.25,1,Priority outreach: offer loyalty discount immediately,843.0
0.8132962,High risk,1,70.6,1,Priority outreach: offer loyalty discount immediately,847.2
0.81074375,High risk,0,111.4,11,Priority outreach: offer loyalty discount immediately,1336.8
0.8100373,High risk,1,80.5,1,Priority outreach: offer loyalty discount immediately,966.0
0.80506533,High risk,1,89.2,4,Priority outreach: offer loyalty discount immediately,1070.4
0.8017938,High risk,1,25.2,1,Priority outreach: offer loyalty discount immediately,302.4
0.801374,High risk,1,84.6,4,Priority outreach: offer loyalty discount immediately,1015.2
0.8008511,High risk,1,74.25,1,Priority outreach: offer loyalty discount immediately,891.0
0.8004218,High risk,1,85.3,3,Priority outreach: offer loyalty discount immediately,1023.6
0.7997199,High risk,0,84.0,5,Priority outreach: offer loyalty discount immediately,1008.0
0.79934883,High risk,0,100.15,8,Priority outreach: offer loyalty discount immediately,1201.8
0.7980442,High risk,0,94.05,6,Priority outreach: offer loyalty discount immediately,1128.6
0.7970798,High risk,1,80.05,1,Priority outreach: offer loyalty discount immediately,960.6
0.7961646,High risk,0,83.25,4,Priority outreach: offer loyalty discount immediately,999.0
0.79438627,High risk,0,90.1,9,Priority outreach: offer loyalty discount immediately,1081.2
0.7916748,High risk,1,102.45,1,Priority outreach: offer loyalty discount immediately,1229.4
0.7909688,High risk,1,70.45,1,Priority outreach: offer loyalty discount immediately,845.4
0.7861551,High risk,1,110.1,10,Priority outreach: offer loyalty discount immediately,1321.2
0.7829557,High risk,1,87.05,8,Priority outreach: offer loyalty discount immediately,1044.6
0.7779884,High risk,1,80.0,1,Priority outreach: offer loyalty discount immediately,960.0
0.7749766,High risk,1,94.9,10,Priority outreach: offer loyalty discount immediately,1138.8
0.7735792,High risk,1,35.55,1,Priority outreach: offer loyalty discount immediately,426.6
0.77223885,High risk,1,77.0,3,Priority outreach: offer loyalty discount immediately,924.0
0.771561,High risk,0,94.55,12,Priority outreach: offer loyalty discount immediately,1134.6
0.76497966,High risk,1,59.85,1,Priority outreach: offer loyalty discount immediately,718.2
0.76475745,High risk,1,75.85,3,Priority outreach: offer loyalty discount immediately,910.2
0.76475745,High risk,1,76.05,4,Priority outreach: offer loyalty discount immediately,912.6
0.76350373,High risk,1,90.4,2,Priority outreach: offer loyalty discount immediately,1084.8
0.76056546,High risk,1,93.5,4,Priority outreach: offer loyalty discount immediately,1122.0
0.75730586,High risk,1,99.8,4,Priority outreach: offer loyalty discount immediately,1197.6
0.7570731,High risk,1,85.6,10,Priority outreach: offer loyalty discount immediately,1027.2
0.7522943,High risk,1,25.05,1,Priority outreach: offer loyalty discount immediately,300.6
0.75227445,High risk,1,84.4,9,Priority outreach: offer loyalty discount immediately,1012.8
0.75094235,High risk,1,84.8,11,Priority outreach: offer loyalty discount immediately,1017.6
0.7489771,High risk,1,75.5,3,Priority outreach: offer loyalty discount immediately,906.0
0.7489771,High risk,0,74.95,3,Priority outreach: offer loyalty discount immediately,899.4
0.7489771,High risk,1,75.55,2,Priority outreach: offer loyalty discount immediately,906.6
0.7474432,High risk,1,98.35,26,Priority outreach: offer loyalty discount immediately,1180.2
0.7473149,High risk,1,75.3,1,Priority outreach: offer loyalty discount immediately,903.6
0.7468767,High risk,1,106.7,12,Priority outreach: offer loyalty discount immediately,1280.4
0.7416814,High risk,1,41.15,3,Priority outreach: offer loyalty discount immediately,493.8
0.7410616,High risk,1,55.4,1,Priority outreach: offer loyalty discount immediately,664.8
0.739762,High risk,1,74.35,4,Priority outreach: offer loyalty discount immediately,892.2
0.73804855,High risk,0,75.4,7,Priority outreach: offer loyalty discount immediately,904.8
0.73804855,High risk,0,74.85,7,Priority outreach: offer loyalty discount immediately,898.2
0.73706806,High risk,1,94.1,13,Priority outreach: offer loyalty discount immediately,1129.2
0.7356531,High risk,1,96.4,16,Priority outreach: offer loyalty discount immediately,1156.8
0.7339696,High risk,1,89.45,3,Priority outreach: offer loyalty discount immediately,1073.4
0.73247594,High risk,1,74.9,6,Priority outreach: offer loyalty discount immediately,898.8
0.73219085,High risk,0,55.25,1,Priority outreach: offer loyalty discount immediately,663.0
0.72838986,High risk,1,95.65,8,Priority outreach: offer loyalty discount immediately,1147.8
0.72786593,High risk,1,94.4,9,Priority outreach: offer loyalty discount immediately,1132.8
0.7271646,High risk,1,30.4,2,Priority outreach: offer loyalty discount immediately,364.8
0.72484475,High risk,0,89.15,7,Priority outreach: offer loyalty discount immediately,1069.8
